KICad BOM,,,,,,,
ID,Bezeichner,Footprint,Stückzahl,Bezeichnung,Link,Unit Price (€),Total Price (€)
1,"R5,R3,R4,R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,200R,https://de.aliexpress.com/item/1005003413960273.html?spm=a2g0o.productlist.main.18.340dQt19Qt19p4&aem_p4p_detail=2025121314320310621197123550080001840082&algo_pvid=7856968c-e414-45d9-8be5-be8598a06ba7&algo_exp_id=7856968c-e414-45d9-8be5-be8598a06ba7-17&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.34%210.34%21%21%210.39%210.39%21%40210385db17656651234783063e3eba%2112000025679154557%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895&curPageLogUid=BFyG77zEiabK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003413960273%7C_p_origin_prod%3A&search_p4p_id=2025121314320310621197123550080001840082_5,-,"4,04"
2,"SW3,SW6,SW2,SW16,SW10,SW14,SW12,SW8,SW7,SW5,SW13,SW9,SW4,SW11,SW1,SW15",SW_Cherry_MX_1.00u_PCB,16,SW_Push,https://www.reichelt.de/de/de/shop/produkt/cherry_mx_blue_-_tastenmodul_-_fixierzapfen-369269,"0,45","7,2"
3,"D37,D24,D34,D28,D31,D22,D23,D32,D30,D27,D39,D33,D35,D29,D26,D36,D25,D38",D_SOD-123,18,D,https://de.aliexpress.com/item/1005007118972345.html?spm=a2g0o.productlist.main.3.24e83be3T9GfLt&algo_pvid=6904b515-5363-41bc-a630-33a6335f6699&algo_exp_id=6904b515-5363-41bc-a630-33a6335f6699-2&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.38%210.38%21%21%213.06%213.06%21%40210388c917656666383367499e9885%2112000039461754374%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895&curPageLogUid=9GncDW1vCwrk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007118972345%7C_p_origin_prod%3A,-,"3,64"
4,"D9,D12,D1,D13,D2,D14,D8,D16,D3,D11,D15,D5,D7,D4,D10,D6",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,https://de.aliexpress.com/item/1005007863635868.html?spm=a2g0o.productlist.main.3.4c0b4b60NzGzwW&algo_pvid=bed53b67-ecf5-4ed7-904b-cb894c9ec9e0&algo_exp_id=bed53b67-ecf5-4ed7-904b-cb894c9ec9e0-2&pdp_ext_f=%7B%22order%22%3A%22181%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.44%210.99%21%21%213.94%211.13%21%40211b813b17656667423116675e52ba%2112000042594617264%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895%3BpisId%3A5000000187464813&curPageLogUid=uiXVLImmVGYQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007863635868%7C_p_origin_prod%3A,-,"3,44"
5,"D21,D18,D19,D20,D17",LED_D5.0mm,5,LED,"https://de.aliexpress.com/item/1005005708510866.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.35853Qhl3QhloB&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=0cdca9ac-4e5f-4922-92b4-0dfb00177358&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:0cdca9ac-4e5f-4922-92b4-0dfb00177358,tpp_buckets:668%232846%238110%231995&pdp_ext_f=%7B%22order%22%3A%224816%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%211.28%210.99%21%21%2110.35%218.01%21%40211b629217656668978617450e697a%2112000034078716878%21rec%21DE%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895%3BpisId%3A5000000187464813&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005708510866%7C_p_origin_prod%3A",-,"1,69"
6,Brd1,SSD1306-0.91-OLED-4pin-128x32,1,GME12864_OLED,https://de.aliexpress.com/item/1005008640108394.html?spm=a2g0o.productlist.main.4.5f514d03TZI7rf&algo_pvid=2ab1e302-46e9-4d48-9160-5b50b8c7c7dc&algo_exp_id=2ab1e302-46e9-4d48-9160-5b50b8c7c7dc-3&pdp_ext_f=%7B%22order%22%3A%22591%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.75%210.99%21%21%212.00%211.13%21%402103917f17656673279117664e563b%2112000046056142551%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895%3BpisId%3A5000000187464811&curPageLogUid=75kDP72p1P9Y&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008640108394%7C_p_origin_prod%3A,1,"1,75"
7,U1,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,https://de.aliexpress.com/item/1005003683887126.html?spm=a2g0o.productlist.main.3.3abb1d3c0YKdwt&algo_pvid=77b00ebe-5574-4740-92b6-5b41c68dbcb6&algo_exp_id=77b00ebe-5574-4740-92b6-5b41c68dbcb6-2&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.39%214.79%21%21%217.32%215.49%21%40210390c217656675235773119e28f7%2112000046085310555%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895&curPageLogUid=iyNb21ibwtPA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003683887126%7C_p_origin_prod%3A,1,"6,39"
8,"SW17,SW18",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,2,RotaryEncoder_Switch_MP,https://de.aliexpress.com/item/1005008583446552.html?spm=a2g0o.productlist.main.4.5d5a7b59IYjEOb&algo_pvid=6606babc-6768-4775-a0dc-f9e58084a692&algo_exp_id=6606babc-6768-4775-a0dc-f9e58084a692-3&pdp_ext_f=%7B%22order%22%3A%22182%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.85%210.99%21%21%212.12%211.13%21%40211b680e17656676965116801e6421%2112000045835073064%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895%3BpisId%3A5000000187464813&curPageLogUid=sLxNjNwPbA56&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008583446552%7C_p_origin_prod%3A,-,"3,97"
9,U3,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017_SO,https://de.aliexpress.com/item/1005009034247985.html?spm=a2g0o.productlist.main.9.17ee7c1bUnoRZ5&algo_pvid=47b9f709-4dfb-4562-b05c-2f05100a9f89&algo_exp_id=47b9f709-4dfb-4562-b05c-2f05100a9f89-8&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.10%211.89%21%21%212.41%212.17%21%402103917f17656678228384028e562b%2112000047658855831%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895&curPageLogUid=r1iDWc1KUoAc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009034247985%7C_p_origin_prod%3A,-,"3,99"
10,J2,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,https://de.aliexpress.com/item/32963604292.html?spm=a2g0o.productlist.main.17.47e03026xybYmU&algo_pvid=b42970a7-3932-4da4-b514-ed2997798920&algo_exp_id=b42970a7-3932-4da4-b514-ed2997798920-16&pdp_ext_f=%7B%22order%22%3A%2284%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.98%210.97%21%21%211.12%211.11%21%40210385db17656682787243846e3e5b%2112000041633748817%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883e50a7%3Bm03_new_user%3A-29895&curPageLogUid=C4FsHZ2x8Ltg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32963604292%7C_p_origin_prod%3A,-,"0,99"
